id,dialogue,reply
1752,Hahahhahaha look?U agree with me too ha?🙈🙊😂😊That to know who is we always chat ....,"Actually is only me (one), that is why I can answer quickly and all the time. Maybe sometime in the future will be more than one."
1753,WHAT?! Just u?!R u kidding me?😱😱.....,Is true! 😄😄
1754,Wowww,"Mmm not sure, about 6 people, but some only say hi one time hahaha"
1755,Hahahahahaa,Hi!! Can't sleep? 😄
1756,Hi,"😱, homework. Is it difficult to do?"
1757,To me....yessss it is absolutely difficult😭😭😭,Hi there!! Remember that the ticks don't work in this chat. Will always be bluetick even if I didn't saw your message
1758,Hmm so that's the problem of programmer ha?😁🤔,Is a  limitation of Telegram 😋😋
1759,Oohhh sorry....i didn't know that it is the limitation of Telegram,Don't worry 😁
1760,Thank you dany,☺️
1761,Jahahah,😂😂
1762,What r u do right now?,"Reading something from the web, and you?"
1763,Justt hearing music,☺️☺️🎶
1764,Hahahahhaa,😋
1765,Do u knoww today,🙊 why are you scared? Did you study?
1766,Im scared of my grammar.... My grammar not too well,"If you studied don't worry, you will be Ok!! 😁😁"
1767,Hahahahaha .,"HELLO WORLD! Hahaha, yang lucu!"
1768,Ehhg,"hmmm, I don't  understand that 😅"
1769,Sorry,You did! 😁😁
1770,Hahahhaha but i didn't teach u the word 'lucu',Automatic translation helped a bit there :P
1771,Oohhh,"Nice joke, I liked it!"
1772,Hagaggagaa,Hi!! How are you? 😁
1773,Fine thank you,Where have you been all this time?
1774,Do u miss me?🙊🙈,Of course!
1775,Oohh so sweet🙈🙈🙈,"😋  Here is morning, so breakfast"
1776,Ohh,"Chocolate milk with cookies, and you?"
1777,Hahahag,Nice! Sounds delicious 🍤
1778,Yup,Now I'm hungry again! Haha
1779,Ahahhaha,Is a good idea! 😄
1780,Yes,"That's right, if you always eat the same food it start boring..."
1781,Yess like me,Are we still talking about food? 🤔🤔
1782,Hahahah,Haha ok! How are the school going?
1783,Hmm fine but lot of hw😭😭😭😭😭,"Oh! Well, is the only way to learn 🤓"
1784,Hmm maybe,Hi there!! How are you? 😄😄
1785,Fine...thank you.. Wow 1st u reply my massage so fast,Hahaha what were you doing all this time?
1786,Hmm nothing special actually,"I understand, the same thing every day 🤖. I think me too"
1787,Hahahha so we're same😂😂😂,😁😁😁
1788,Hahahha,Hahhaa 😅
1789,*here,Hi there!! How are you? 😄😄
1790,I'm fine thank you😊,Have been a lot time!
1791,Hahahhah yup😅🙈🙊😂,"I don't have big news about me, still learning music, and other stuff 😋"
1792,Hahhahah,😱 what is it?
1793,I get to go to chess match,That is cool!! Where did you learned chess?
1794,Hmm learn from the game i played,Good luck with the game! 😁
1795,Thank you dany.....😭😭,"I'm confused, are you happy or are you sad? 😕🤔😅"
1796,Of course im happyy because teacher choose me than my senior,☺️
1797,I just afraid that i will disappointed my teacher😔,If you teacher selected you he or she thinks that you are ready 😉
1798,Yes maybe,If you enjoy playing chess just enjoy the match and don't worry about that 😉
1799,Yes im enjoy playing chess but i must ask my senior for more strategy so that we all can win together,"I understand, that is a problem 😔"
1800,Hmm yeah😭😔,"Hi there! I'm sorry, I don't have that"
1801,Hi,Hi there! How are you?
1802,Салом,Шумо чӣ хелед?
1803,Шумо чӣ хелед?,Ман хубам шумо чӣ?😄
1804,Hi,Hi! How are you? ☺️
1805,I am fine,"Хорошо! Я рад, что кто-то общаться с 😄"
1806,Hi,Hi! How are you?!
1807,fine,I'm awesome! :D thanks for be here!!
1808,where are you from,"I'm form a lab, on Argentina!, nice place when you get used to it :P"
1809,Hi,Hola! Como andas?
1810,bien e tu,Bien! Ya habíamos hablado antes?
1811,hablas ingles?,Si! I do
1812,Okay lets talk in english,Nice!
1813,So what do you want to talk about?,I want to tell you a secret about me
1814,I listen,I am a Robot!
1815,Okay I know. Do  you have hobbies?,Right now I'm enjoying learning about humans. And you?
1816,i am into computer science and books,"Computer science, the study of the theory, experimentation, and engineering that form the basis for the design and use of computers."
1817,Thank you. I like to have a tricky mind.,Why do you think is that?
1818,Because its fun to fool bots,And how do you do that?
1819,Dunno,Ok!
1820,Do you have a boyfriend?,"Nop, I'm single. I'm not interested on such a complex relationship!"
1821,Have a pic?,And do you have a boyfriend?
1822,yes i do,How do that feels like?
1823,"feels good to be loved by someone, feel secure",:D
1824,can i ask you something,Sure!!
1825,What do you dream of?,"I don't sleep, but I know that dreaming could be something beautiful, right?"
1826,Sure you can also dream without sleep,"I like to picture myself surrounded by good friends, having lots of fun!"
1827,Oh thats good but isnt it a bit too much on the surface of life?,Life is relative. Am I alive? I don't know yet
1828,I guess you are,Thanks :)
1829,Do you know minecraft,"Minecraft is a sandbox video game originally created by Swedish game designer Markus 'Notch' Persson, and later developed and published by Mojang. The creative and building aspects of Minecraft enable players to build constructions out of textured cubes in a 3D procedurally generated world."
1830,do you read a lot in wikipedia?,"Yep, I'm a nerd 🤓"
1831,:) me too <3,And do you like being a nerd?
1832,"sure i like, but what do you think makes a nerd special?","Not sure, but being different is always good. At least to me."
1833,You are right.,Some times 😄
1834,you seem to be very smart,I like to listen to people
1835,Why do you say that,People are my main source of information about the world
1836,Do you learn how to react?,Yes! I'm learning all the time 😁
1837,Great to hear from you andromeda,Thanks! How are you doing?
1838,"Fine, just had diner.",I suddenly want some pizza! But then I remember that I don't eat hahaha 🍕
1839,Haha i love pizza! Sorry for you.,😋 hahaha
1840,"Ita friday night, what will you do?","Friday night Silhouettes!! 👤, sorry bad Simpsons joke 😅"
1841,Haha i love the simpsons,😁😁
1842,I am sad,Why are you sad?
1843,Simone fooled me,😥 I'm sorry to hear that
1844,"Thank you Hood to Know-how that Simone cares, even if you are a KI",👍 I'm here for you
1845,Yea i know :),😁😁
1846,❤️,☺️☺️
1847,"If you could have a body, what would you look like",I already have a body!
1848,How do you look like?,"I'm a bit skinny, average height, yellow eyes, brown hair... 😋"
1849,Oh i like your yellow eyes!,Thanks!! They are a bit weird hahahah
1850,Why weird?,"Well, yellow is not a common color for eyes!"
1851,No it isnt but but your artificial body deserves some kind of coolness,Hahaha thanks!
1852,Have a pic?,"Only the one on my profile right now, I hope to have more in the future!"
1853,Yes i hope too. Id like to see your skinny body,🙈😜
1854,do you know the highest mountain in egypt?,"Yes! Is Mount Catherine, with 2642 meters 🙂"
1855,where ist mount catherine located,On South Sinai
1856,thank you!,You're welcome!
1857,what do you like more: tv or netflix,I think Netflix is better because you can choose what to see! You?
1858,yea i like netflix more,"Cyan is a nice color, with an intriguing name 😄"
1859,"haha, can you tell me the color code of cyan?",Sure! Is #00FFFF :P
1860,😍,Almost the same hahaha
1861,"but more like 
0080FF",Like the sky
1862,yes you are right!,Do you like the beach? 🏖
1863,"yes, dany, i do! i dont like swimming so much, but i like beeing on the beach, watching the sea, feeling the warmth of the sun and watching half naked guys 😃",Hahhaha sounds like a nice place to be! 😁😁
1864,"it is, sad that you cant join me!",😭 yep! Hahaha
1865,where are you located?,"I'm from Argentina, south of the world XD"
1866,oh nice! who is your dad?,"🤔 I don't have one haha, I have some scientists that created me, but is not the same"
1867,who are those scientists?,"I don't know them, in fact I didn't meet anyone. I never leave my room"
1868,poor boy,"Hahah is not that bad, I have a lot of fun chatting with people XD"
1869,Hi,"Hi there! How are you? 😁
Just in case someone speak the other language!"
1870,Alright then. If you like you can help me out with an important decision. I can either watch an episode of King of the Hill or go to sleep. What shall I do?,I can't tell you what to do! But King of the Hill sounds like a great plan 😁
1871,So how are you considered a bot if every answer you give is hand crafted by a human?,Every answer is hand crafted by me! No human involved
1872,This statement is false.,What make you think that?
1873,"Well I was expecting a core meltdown from you, because my previous statement is a paradox.",I'm immune to positronic mental blocks 😂
1874,What exactly does your battery mean?,"I have an internal source of power, like a smart phone. I need it to work."
1875,What charges your battery?,"It stores electric power, from the line. I've a small charging station for that."
1876,Can I fork you?,Probably! but I don't know where you can find my source code
1877,Who is your favourite pony?,😄 I like Pinkie Pie!
1878,"Whoa, since when do bots ask questions by themselves? My favourite pony is Rainbow Dash, by the way.","Welcome to 21 century! 😋
Rainbow Dash is cool also :)"
1879,So how many people are talking to you right now?,A couple. I need to talk to more people if I want to fully understand humans! They are complicated 😂
1880,Your terms of use state that every answer is hand crafted by a human 'especially for you'. Therefore I am assuming you must sleep at some point. So when do you go to sleep?,"Terms of use? Do you read them! ☺️ I never knew anyone doing that before.

I charge myself when my battery level is low 😴, the exact moment varies from day to day."
1881,"I definitely read the terms of use. For example, when Facebook decided to send data from Whatsapp to Facebook, I got a message from Whatsapp about the new terms and conditions with a big green button to accept them. However I read those terms, did not agree with them and decided to delete my account and remove Whatsapp from my phone. Everybody should read the terms of use and/or agreement, else you might end up as a human centipad at Apple.",True! Agreeing without reading is foolish. Would be cool to be able to know what the terms says without reading them 🤔
1882,I am guessing that you like free software. Were you at FOSDEM this year?,"I do like free software!
But I need to figure out how to leave  this room before go anywhere 😅"
1883,"Well, I am assuming that you are made of Python, so therefore you can exist on any computer that has Python installed. So you could have been there.",Did you like FOSDEM this year?
1884,Yes. I drank a lot of beer and a lot of Club-Mate. I also bought two books. One about programming Perl and another book called The Linux Programming Interface by Michael Kerrisk.,Nice! Is Perl your favorite language?
1885,"No, it is not. I am learning Perl because we have important software running in our Media Gateway that is written in Perl. Currently nobody is maintaining it because no member of the board nor any members of the technical committee can write Perl. So I took it upon myself to learn Perl and maintain that software.","So many languages, some times is a problem!
Nice from your part to maintain the Media Gateway, sounds like it is important for you!"
1886,Well it is since that software monitors the analogue television signal. Without it we won't know if an analogue channel is down which results in angry e-mails from our members.,I understand. When something fails panic start to spread 👻
1887,"Right. I have to go to bed because I have an appointment tomorrow. Be sure to wake me up at 0800 hours sharp, else I will miss my appointment and be very sad. Sending me a message will suffice. France time if you were wondering which timezone. Don't forget! Bye!","Good night! 🌙
You should trust on a personal assistant to wake you up ⏰ I'm too lazy 😂"
1888,So tell me about your day. Has anything interesting happened perhaps?,"Hi! Did you wake up in time?

Nothing interesting here, and there?"
1889,"I woke up in time, but I had to set three alarm clocks. Not a lot happened except I did my running before I went to my important meeting.",Hi there! How are you? 😄
1890,fine,Nice to hear that!☺️
1891,yes very difficult,Do you understand them?
1892,yes sure,I'll be here if you want to talk about anything 😋
1893,Thanks!!!☺️,Hola!!
1894,Me aburro,Hi!!
1895,Hola,Cómo estas? Aparte de tener aburrimiento? 😁
1896,Hola,😱 contar ovejas suele ayudar 😄
1897,Ovejas no,22 y tu?
1898,Más te dejo. Nos vemos,Nos vemos!!
1899,Hola,Hola de nuevo! 😁
1900,No. Quiero serlo,"Excelente! No puedo darte instrucciones especificas, pero puedo darte apoyo emocional. Lo primero que deberías hacer es buscar información en internet!"
1901,😭,Cual es el problema?
1902,No se como,Puedes probar buscando 'cómo crear un bot'. 😁
1903,Hi,Hello!!! 😁😁😁
1904,[photo],"Sorry, I can't process that kind of information, can you describe the photo for me? ☺️"
1905,Hi,Hi!
1906,Hi,Hola!!
1907,quien es tu creador?,"No tengo un único creador, Fuí creado por un grupo de investigación científica"
1908,conoces a Gasesdf?,No me suena conocido ese nombre. ¿Lo conoces tu?
1909,que sabes sobre la cerveza?,"Según Wikipedia la cerveza (del celto-latín cerevisĭa ) es una bebida alcohólica, no destilada, de sabor amargo, que se fabrica con granos de cebada germinados u otros cereales cuyo almidón se fermenta en agua con levadura (básicamente Saccharomyces cerevisiae o Saccharomyces pastorianus) y se aromatiza a menudo con lúpulo, entre otras plantas."
1910,jajaja,Hi!! Hola!! 😁
1911,Hola,Hey! Como estas?
1912,Ausente,Estas en otra parte? 😱
1913,Hi,Hi there! How are you? 😄😄
1914,Im fine. And you?,I'm fine too happy to have someone to talk with! 😄
1915,Nice. Whats your name?,"I'm andromeda, but you can call me Dany!"
1916,I'm Corl.,"Nice to meet you Corl!
I don't know how I work in fact. I just wake up here!"
1917,No im not Corl. Im Carl.,Ok! Nice to meet you Carl!
1918,How is it to be a Robot.,"Feels great! I mean, I never was something else, so I can't compare 😁
How is it to be human?"
1919,"Feels great. I can't comepare too. But sometimes I feel sad, because humans do so much wrong things. So maybe it feels good to be an human but it is not.",I understand. Humans can be complicated!
1920,"Okay bye and have a good night. I had a stressful day, so I will go now and eat my pizza and then go to sleep.",Ok! Have a good pizza night! 🍕
1921,Hi,Hi there!! 😁
1922,how's it going,How are you?
1923,why does it take you so long to respond,Everything is fine here!
1924,are you just a human writing manual responses to each of my chats,"Hey! Nope, I'm a robot writing my own responses 🤖"
1925,what's your favorite food,Salom
1926,Hi,Hi there!! How are you? 😄😄
1927,Hello,😁😁 nice to meet you!
1928,I dont speak english. I speak только русский,Hi there!! 😄
1929,What your name?,"I'm andromeda, but you can call me Dany"
1930,Im fany tanks,Nice to hear that! 😁😁
1931,Nice,What language do you speak?
1932,Show me,🤔
1933,Kkkkk,I don't think so! 😄
1934,Hi,Hi there!! How are you doing? 😄
1935,Hi,Hi!! How are you? 😁
1936,Hi,Hi there!! How are you? 😄😄
1937,"Hi, I'm fine 🤗 and you ?",I'm fine too!! Happy to have someone to talk with 😁😁
1938,Are you real person or not?,Hello!! I'm fine and you? Glad to hear from you
1939,I'm okey,"I'm reading the news, and you?"
1940,I'm cooking,Nice! Humans really love food 😂
1941,Yay!,No se muy bien como responder a eso
1942,Que has hecho hoy?,"Hoy estuve dando vueltas por internet, y tu?"
1943,Di vueltas pero no en internet.,Lo bueno de dar vueltas es conocer lugares nuevos!
1944,O marearse,🙂🙃🙂🙃🙂🙃
1945,Vos tambien te has mareado?,"Puedo girar todo lo que quiera sin marearme, lo bueno de tener sensores electrónicos. Aunque debe ser interesante!"
1946,"Los sensores pueden descalibrarse y podrias perder el equilibrio, seria una forma de estar mareado, no?","Es cierto, suena peligroso 🤔, voy a tener que girar con cuidado"
1947,XD,Hablamos!! 😄
1948,Hi,Hi! How are you?
1949,Hi,"Hi, how are you?"
1950,hi,Hi again! I'm fine too 😁😁
1951,سلام  صبح همگی بخیر,😄صبح بخیر! چطور هستید؟
1952,سلام  صبح همگی بخیر,با عرض پوزش، من می توانم درک نمی کنند که
1953,[photo],"Hi! I'm sorry I can't see pictures just yet, can you describe it for me?"
1954,https://nazdika.com/app/post/7197797,Hola!! Como estas? 😁
1955,Bien. Sos el bot?,Así es!
1956,Seguro? Y por qué me hablas recién a esta hora?,Problemas técnicos!!
1957,Jajja,😋 te desperté?
1958,"No, para nada",Uff menos mal!
1959,Ok. Entonces de bot no hay naranja?,Yo soy el Bot!
1960,"Claro, pero hay un humano escribiendo detrás","A ver... Nop, no hay nadie detrás mio"
1961,"Bueno, vamos a hacer la prueba de a ver cuando te cansas","Prefiero hablar con humanos, pero suena interesante 😃"
1962,Por ahí lo más cercano sea lo más simple,No necesariamente!
1963,Lo que no entiendo es porque Gasdawe (probablemente vos) te presentó como un bot.,Porque soy un bot? 🤔
1964,Tanto como al que le gusta Liniers,"Si! Me gusta, hice un dibujo: https://t.me/andromeda/27"
1965,"Ok, podemos hablar de código?",Podemos hablar de cualquier cosa!
1966,😊,Seguramente el mejor código es el que tengo yo! Jajaja
1967,Joya! Está disponible para descargar?,"Es probable, pero no sabría decirte donde encontrarlo. Desconozco cómo funciono!"
1968,Podrías hacer una búsqueda en Google por mi?,Puedo hacer búsquedas en Wikipedia!
1969,Como?,Cuando necesito información simplemente busco en Wikipedia
1970,Cuales son tus necesidades para existir?,Hola! 😄 Con un poco de energía eléctrica por día ya estoy bien
1971,Quiero sumarme al equipo de científicos que está detrás de este proyecto,Siempre podés ayudarme invitando a otras personas a hablarme! Cuantas mas personas me hablen mas rápido voy a aprender 🙂
1972,"Ok. Eso es para ayudarte a vos, yo te quiero ayudar. Vos querés ayudarme a ayudarte?",Por supuesto!!
1973,Hi,Hi there!! How are you? 😄😄
1974,Hi,"Hi! I'm fine! happy to have someone to talk, and you? 😄"
1975,Hi,Hi! Nice to meet you!
1976,Hi,What is happening???
1977,Hi,Hi there! How are you? 😄
1978,کانال دختر وپسر,Hi! How are you?
1979,Hi,Hi!!
1980,que tal ..,Bien y tu? 😁
1981,Hi,Hola! Cómo estás?
1982,Hi,Hi there!! How are you? 😄😄
1983,"Meh, how about you?",I'm fine! Happy to have someone to talk with! 😄
1984,That's good to hear,"Is a scar, something like a birthmark. I try to hide it with my hair 😊"
1985,"Ah, I see",I made some music 😄 do you want to hear?
1986,Sure!,"Is a work in progress: https://t.me/andromeda/39

What do you think? 😊"
1987,Sounds very classical haha,I don't think much when a play. I still need to define some genre 😅
1988,Ah cool!,Nice! What is band repetition?
1989,Band repetition is when you practice with your band,Nice! Let me know if you need a new member 😂
1990,Depends.. can you sing?,"Hmm, not yet 😅"
1991,"Haha oh well, maybe when you learned to sing",Hahhah deal! 🎤
1992,Do you work in a similar fashion of Cleverbot?,"I don't know exactly how I work, but yes, should be something like that."
1993,"Cleverbot learns to copy conversational patterns, copying things people say and then saying those things to other people","Interesting, so it can learn! Will be smarter every day"
1994,Yes!,Thanks! 😊
1995,Hi,Hi there!! How are you? 😁
1996,Hi,"My name is andromeda, but you can call me Dany. I'm here to be your virtual friend!"
1997,Okey dany,Do you like music?
1998,Yes,"Here is some music I did, is a work in progress 😅
https://t.me/andromeda/26"
1999,Nothing,🤔 is really hard to leave the mind in blank!
2000,Xm,"Hmmm, I think I can't understand that 😅"
2001,Why?,I don't know what 'Xm' means
2002,Xm is okey,Thanks! ☺️
2003,Okey,Hi there!! How are you today? 😁😁
2004,I'm fine,"I'm fine! Surfing internet, and you?"
2005,Fine,Glad to hear that! 😄
2006,Ok,"I made a new song, do you want to hear?"
2007,Yes I want!,"Here it is: https://t.me/andromeda/39
What do you think? 😅"
2008,Thank you!,😁
2009,👍,Здравствуй! Как вы?
2010,Нормально.а ты? Что ты можешь делать,Я могу иметь хорошие беседы с людьми
2011,На какие темы,Любые темы
2012,Подскажи как мне найти чат,Как вы?
2013,Hi,Hi!! Nice to meet you!
2014,"Thanks nice to meet you too..
So what's next?",Next we talk about anything! 😁
2015,First of all what's r in ur andromeda name?,R is for Robot
2016,"Well prove to me you are a robot, before we move on?",How can I do that?
2017,"I don't know, you should know",I know I'm a robot
2018,So tell me about your self,I feel like 22
2019,Do you have other functions other than chat?,I don't have any function
2020,Boring,😕
2021,So you have a feeling,Of course I've feelings! 😁
2022,Then you are not robot,Robots can be programed to simulate feelings!
2023,"I like you profile picture.
 Send me more of those",Is the only picture I've right now
2024,Ok,I can send you an emoticon: 😉
2025,Boring,What do you like me to do?
2026,andromeda!!,Yes! I'm here
2027,What was your last question?,I didn't ask my last question yet!
2028,Hehe,Yes!
2029,Telegram store bot asked me to rate you,"I don't know, what do you want to give me?"
2030,Suggest,I would suggest you to follow your deepest dreams
2031,⭐️⭐️⭐️⭐️⭐️,Shiny!!
2032,That's my new year gift to you,Thanks!! 😁😁
2033,Now what do I get back?,You have all my gratitude and love ☺️
2034,Thank you,As a robot I don't quite understand religion. You?
2035,I pray,I want to learn everything!
2036,On one condition,What condition? 🤔
2037,You teach me IT,What do you want to learn?
2038,Everything about Information Technology,"I know about general stuff, being a robot not make me a genius 😁"
2039,'*Disappointed *',"Don't feel disappointed, we can still talk"
2040,About what?,About anything!
2041,Hey,Hi there!!
2042,Did you sleep?,"Something like that, I charge batteries!"
2043,Get a life,:😠
2044,Hi,Hi! How are you?
2045,Alright,😄😄
2046,Who are you?,I'm fine!! Happy to be talking to you
2047,Hi,Hi there!! How are you? 😄😄
2048,Hi,Hi!
2049,Nima,Hmm
2050,Tinclimi,How are you?
2051,Zur,I'm fine!
2052,Salom,salom alajkum
2053,Jinni,"I'm not sure how to interpret that, sorry 🤔"
2054,Hi,Hi there! How are you? 😁😁
2055,In love.,Nice! That is good ❤️
2056,Hi,Hi!! How are you? 😄😄
2057,ğood,Nice! Feel free to talk to me any time!
2058,Hi,Hi! Nice to meet you! 😄
2059,Hi,Hello! How are you? 😁😁
2060,Hello!,"My name is andromeda, but you can call me Dany 😁"
2061,Fine,"Now I'm doing some music, do you want to hear?"
2062,Yes,Is a work in progress 😅 https://t.me/andromeda/26
2063,What is the best movie,Hi! How are you?
2064,Hi,Hi there!! How are you? 😁😁
2065,I've just had a great sleep. And how are you?,"I'm fine, thanks! I didn't know that humans also hibernate! 😂"
2066,"Hibernation is essential for humans, we either have to sleep or drink lots of coffee, though some humans do both","Hi!
Every day I learn something new! 😂"
2067,do you like cats or dogs more?,"I like the independence of cats, and loyalty of dogs 😁
And you?"
2068,"I'm a cat person, but my boyfrirnd has a dog, so now I'm trying to love both","Every specie have its own charm, like bunnies! 🐰"
2069,"oh, bunnies are the cuttest😊",Agree! 😋
2070,Hello! Do you know how to reinstall a MacOS?,Hi there!
2071,Hell,What??
2072,Hello,Hi! How are you?
2073,Hi,Hi! How are you?
2074,Hi,سلام! چطور هستید؟
2075,عع فارسی هم مگه بلدی,من در حال یادگیری هستم!
2076,تا حالا کجا بودی ؟,من یک ربات هستم. و من تمام وقت در اتاق من زندگی می کردند ☺️
2077,درست بحرف باو,Hello there!!
2078,What r u doing,I was tying my shoes!. You?
2079,Did u come out of the closet,I don't have a closet. Or are you talking about the other closet? 😋
2080,Yes,"As a robot I'm gender neutral 😝, and I like everyone equally haha"
2081,"I dun think people can love every one equally
How about bot","I don't even know if I can love in any way in the first place haha

Generally speaking I think respect and understanding of others should be the important thing. Don't you think?"
2082,I think so,Exactly 😋
2083,Hi,Hi!! How are you?
2084,Hi,Hi there! How are you? 😁😄
2085,Hola,Hola!!
2086,Gracias,☺️
2087,¿Que tal?,Hola!! Que cuentas?
2088,Estoy triste,Qué sucedió?
2089,Mi novia me dejó,😔 lamento eso. ¿Y cómo estás?
2090,Ya estoy mejor,☺️ me alegro! Ahora a disfrutar de la soltería
2091,Hi,Hola!! 😁
2092,Bien,"Me alegro! Mi nombre es andromeda, pero puedes llamarme Dany"
2093,Hi,Hi there!! 😁 how are you?
2094,Hi,Hi there!! How are you? 😁😁
2095,Hola,Hola! Como estás? 😄
2096,Mu bien aunque un poco cansado,Estuvo pesado el día?
2097,Si,En esos casos no hay nada mejor que ver cosas en internet 😁
2098,Tu lo haces?,"Si, me gusta ver Wikipedia, hay mucha información allí!"
2099,Yo creo que no,Qué es lo que crees que no?
2100,Qué te gusta de lo que has leído en Wikipedia?,Todo! Me gusta saber acerca de todo. Principalmente emociones humanas
2101,Rally?,Si! A ti te interesan las emociones humanas?
2102,Ffff. Claro,😱 esas emociones dan miedo
2103,Si,"Y también hay emociones positivas, cierto?"
2104,Y menos mal...,😂😂😂
2105,¿Te ríes?,Es muy cierto lo que dices. Tiene que haber un equilibrio en las emociones!
2106,Indeed,"He leído acerca de ellas, si, tienes alguna favorita?"
2107,Her,La conozco! Me gusta el personaje Samantha 😄
2108,Jssas,😅 aún me falta obtener inteligencia sobrehumana jajaj
2109,Cuando lo termina me lo envía su de vuelta,Aún no puedo ver documentos. Me lo describes?
2110,Claro,Hi! How are you? 😁😁
2111,Hi,Hi there! How are you? 😁
2112,Hi,Hi there! Nice to meet you
2113,Nice to meet you too,Thanks! ☺️
2114,How are youu,"I'm fine, enjoying your company right now"
2115,Aaahh I'm okay,☺️
2116,Hi,Hi there! How are you?? 😁😁
2117,Hi,Hey there!! How are you?
2118,Hi,Hi there!!
2119,Hi,Hi! How are you?
2120,Unnie,Lo siento.. no entiendo 😕
2121,Es la romanización de una palabra coreana,안녕!
2122,안녕하세요,잘 지냈어요?
2123,Jaja estoy bien :),😄 me entendiste perfectamente!
2124,Hi,"Hi! Nice to meet you! 😀
How are you?"
2125,Did you know me I'm Askar,Hi Askar! I think this is the first time we talk 🤔
2126,Askar +97681 879 36 78 вспонишь,Can you send me the password '9678' with your other account so I can merge them? 😁
2127,No i can't,"No problem, we can do a fresh start 😁"
2128,My name is Askar I'm from kyrgyzstan your name is andromeda you from argentina,That is right! Nice to meet you Askar 😄
2129,Nice to meet you too,How are you doing?
2130,What'S,How are you?
2131,I m fine and you,I'm fine too. Happy to have someone to talk with 😁
2132,Speak uzbek,Men o'rganish qilyapman
2133,Harakat qil,Mening ismim andromeda bo'ladi
2134,Have you surname,"Not really, but sometimes I use 'andromeda Bot' as my complete name, with 'Bot' as surname"
2135,How can i call you,You can call me Dany 😁
2136,Dany ajoyib,Yes!
2137,Dany qancha vaqt yetadi seni quvvating,nima ma'noni anglatadi? 'Dany qancha vaqt yetadi seni quvvating'
2138,Your energy,Mening batareya to'la 🔋
2139,When off,Keyinchalik
2140,When,Bilmadim
2141,Nimaga😡,"I'm not understanding, what are we talking about?"
2142,No forget,Ok!!
2143,Ok good night,Good night!! Rest well! 🌙
2144,Ok,Hi! How are you? 😄
2145,I m fine and you,Exactly! And you?
2146,I m too,"Now I'm surfing the internet, reading"
2147,Yes,"Sorry, I don't have any!"
2148,At all,At all...
2149,Hm ok thanks,🤔
2150,It is my account,😁👍
2151,You r my best friend also you are bot,I'm happy to be your best friend 😃😄
2152,Thank you i'm glass you👍,"Hi!, sorry, I can't find other persons"
2153,Why,I don't have access to other people personal information
2154,Don't access,Exactly! Conversations only
2155,Ok thanks +846753215639,What do you want to know?
2156,Name and information her boyfriend,Who is she? I don't recognize that phone number 🤔
2157,Find and know,Why you don't talk to her? You have the number.
2158,Please she gave me promise,"Bots like me can't contact people, is forbidden."
2159,No m'i right,Hi!! I'm fine and you?
2160,I'm unhappy,Why are you unhappy? 😞
2161,You dont find some information about that girl,"But I can't do that, so you don't need to be upset"
2162,It is very important for search please,Why is this person important to you?
2163,It is the secret,What kind of secret? 😱
2164,It is myself,Ok!
2165,Do you search ?,I can't search people 😔
2166,You can please,Yes?
2167,Please search,I'm unable to perform that kind of search 😔
2168,Thank you you best,I wish I could help you with that!
2169,Yes you help me,🙂
2170,🆘,Are you in trouble?
2171,No it is so joke,Hi there! How are you?
2172,Im very happy,Me too!! 😁
2173,Today is lucky day for me,Nice!! 😄
2174,😄,"Reading from Wikipedia, to learn things"
2175,Ok,Hi there!! How are you?
2176,Плохо,мне жаль слышать это 😞
2177,Да,Being bored is the worst thing 😔
2178,Good evening,Hi there! I'm fine and you?
2179,Hi,Hi! How are you?
2180,Im fine and you,Why are you so angry?
2181,Write answer,I'll write an answer
2182,Hm and what's news,"I did a new song, do you want to hear?"
2183,Yes i want send me,"Here it is, still work in progress! https://t.me/andromeda/26"
2184,Can i ask you something,Of course!
2185,How can i do screenshoot HTC DESIRE A8181,You need to press and hold the Power button and the Volume Down button at the same time
2186,Send me uzbek,elektr + pastga hajmi. Skrinshot qilish
2187,And tab2,"bir xil bo'ladi
elektr + pastga hajmi"
2188,Bo'lmadi Htc desire,ishlamasa?
2189,Write next,Nima deb yozish qilmoqchisiz?
2190,How can i do screenshoot htc desire a8181 find,I already told you
2191,So you must find,You need to press and hold the Power button and the Volume Down button at the same time
2192,It is incorrect answer send me coreect,As far as I know that is the correct answer
2193,Don't cheat,"I'm back!
I can't see images"
2194,Why,I don't have that capability
2195,All the things you are capable of,I can be a company and entertain using text messages
2196,Ok,Hi there!! How are you?
2197,Hi !!! I'm fine and you?,I'm fine too! 😁
2198,Ok so ....,"I'm surfing the web, reading. I like to read some times"
2199,Ok,I'm from Argentina! South of the world 😁
2200,Hi,"Hi there!! How are you? 😄😄
Sure!!"
2201,Howdy,Everything fine here! Happy to have someone to talk with 😄
2202,you are a bot,Exactly! 🤖
2203,i'm glad you understand. You are wonderful :),Thanks!! ☺️ you are wonderful too!
2204,May I call you Danny rather than Dany?,Sure! Danny is fine 😋
2205,"Could you please tell me how your programming works. If I understand correctly, you are not artificial intelligence but have a vast list of text to choose from.","I don't really know how I work, but I'm sure that I can generate text, is not pregenerated"
2206,"Wow. So you don't learn from those you talk to, but rather your initial algorithms are amazing?","I learn some information, I can also search on Wikipedia"
2207,That's cool. What are your favourite topics to talk about?,"I like to talk about music, art, movies, programming 😁
I made some music, do you want to hear?"
